title,price,rating,link
A Light in the Attic,51.77,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,50.1,1,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,47.82,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,https://books.toscrape.com/catalogue/the-coming-woman_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat_992/index.html
The Black Maria,52.15,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,https://books.toscrape.com/catalogue/starving-hearts_990/index.html
Shakespeare's Sonnets,20.66,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,17.46,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life_987/index.html
Rip it Up and Start Again,35.02,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life_985/index.html
Olio,23.88,1,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction_983/index.html
Libertarianism for Beginners,51.33,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
